mes,tienda_id,producto_id,producto,cantidad,precio_venta,total
2025-09,T01,P030,Cafetera DeLonghi,62,572.14,35472.68
2025-09,T01,P031,Freidora de aire Philips,17,482.65,8205.05
2025-09,T01,P032,Aspiradora Dyson V11,69,831.74,57390.06
2025-09,T01,P033,Plancha a vapor Rowenta,28,292.09,8178.52
2025-09,T01,P034,Batidora KitchenAid,60,424.37,25462.2
2025-09,T01,P035,Tostadora Oster,75,839.51,62963.25
2025-09,T01,P036,Purificador de agua,16,472.94,7567.04
2025-09,T01,P037,Laptop HP 15,19,2909.36,55277.84
2025-09,T01,P038,Laptop Lenovo ThinkPad,22,1283.74,28242.28
2025-09,T01,P039,Laptop Asus VivoBook,16,1940.93,31054.88
2025-09,T01,P040,Laptop Dell Inspiron,9,1625.7,14631.3
2025-09,T01,P041,Monitor LG 27,2,1361.33,2722.66
2025-09,T01,P042,Monitor Samsung 24,13,3525.39,45830.07
2025-09,T01,P043,Monitor BenQ 32,21,4126.52,86656.92
2025-09,T01,P044,Impresora Epson EcoTank,5,1538.5,7692.5
2025-09,T01,P045,Impresora HP LaserJet,4,3253.62,13014.48
2025-09,T01,P046,All-in-one Dell,25,2751.13,68778.25
2025-09,T01,P047,Mini PC Intel NUC,25,2790.97,69774.25
2025-09,T01,P048,Teclado mecánico Logitech,18,1955.46,35198.28
2025-09,T01,P049,Smartphone iPhone 15,9,4498.05,40482.45
2025-09,T01,P050,Smartphone Samsung S24,16,3357.35,53717.6
2025-09,T01,P051,Smartphone Xiaomi Redmi,13,2609.9,33928.7
2025-09,T01,P052,Tablet iPad 10,12,2665.39,31984.68
2025-09,T01,P053,Tablet Samsung Galaxy Tab,25,4689.64,117241.0
2025-09,T01,P054,Smartwatch Apple Watch,4,4943.79,19775.16
2025-09,T01,P055,Smartwatch Samsung Galaxy,16,3000.78,48012.48
2025-09,T01,P056,Auriculares AirPods,25,3063.1,76577.5
2025-09,T01,P057,Cargador inalámbrico,6,3546.92,21281.52
2025-09,T01,P058,Funda protectora,12,1953.56,23442.72
2025-09,T01,P059,Power bank Anker,0,4119.13,0.0
2025-09,T01,P060,Smartphone Motorola G84,3,2808.36,8425.08
2025-09,T01,P061,Aire acondicionado LG 12000BTU,24,1183.84,28412.16
2025-09,T01,P062,AC Samsung Inverter,4,1974.68,7898.72
2025-09,T01,P063,AC Midea 9000BTU,3,1094.48,3283.44
2025-09,T01,P064,Ventilador de pie,22,824.03,18128.66
2025-09,T01,P065,Ventilador de techo,22,774.62,17041.64
2025-09,T01,P066,Calefactor eléctrico,1,314.56,314.56
2025-09,T01,P067,Humidificador,1,1528.5,1528.5
2025-09,T01,P068,Deshumidificador,32,1414.68,45269.76
2025-09,T01,P069,Purificador de aire Xiaomi,30,1143.54,34306.2
2025-09,T01,P070,Climatizador evaporativo,20,1269.63,25392.6
2025-09,T01,P071,Calefón a gas,19,1204.56,22886.64
2025-09,T01,P072,Terma eléctrica,28,2046.94,57314.32
2025-09,T01,P073,Secadora de cabello Gama,41,293.29,12024.89
2025-09,T01,P074,Plancha de cabello Babyliss,15,478.17,7172.55
2025-09,T01,P075,Afeitadora Philips,63,499.24,31452.12
2025-09,T01,P076,Cortadora de cabello Wahl,59,757.46,44690.14
2025-09,T01,P077,Cepillo dental eléctrico,73,742.53,54204.69
2025-09,T01,P078,Depiladora Braun,79,537.43,42456.97
2025-09,T01,P079,Afeitadora Braun,21,823.96,17303.16
2025-09,T01,P080,Espejo con luz LED,19,761.75,14473.25
2025-09,T01,P081,Masajeador eléctrico,75,339.66,25474.5
2025-09,T01,P082,Rizadora Conair,66,831.79,54898.14
2025-09,T01,P083,Kit de manicura,26,160.67,4177.42
2025-09,T01,P084,Balanza digital,55,645.25,35488.75
2025-09,T01,P085,Cable HDMI 2m,79,723.77,57177.83
2025-09,T01,P086,Cable USB-C,43,502.44,21604.92
2025-09,T01,P087,Mouse inalámbrico,58,451.39,26180.62
2025-09,T01,P088,Teclado inalámbrico,76,871.52,66235.52
2025-09,T01,P089,Audífonos con micrófono,29,873.16,25321.64
2025-09,T01,P090,Soporte para TV,8,770.8,6166.4
2025-09,T01,P091,Regulador de voltaje,70,472.9,33103.0
2025-09,T01,P092,Estabilizador,51,132.72,6768.72
2025-09,T01,P093,UPS 1000VA,4,298.5,1194.0
2025-09,T01,P094,Hub USB multipuerto,25,488.71,12217.75
2025-09,T01,P095,Tarjeta SD 128GB,22,159.26,3503.72
2025-09,T01,P096,Memoria USB 64GB,5,692.99,3464.95
2025-09,T02,P001,Refrigeradora LG 340L,20,2683.86,53677.2
2025-09,T02,P002,Refrigeradora Samsung 450L,17,3888.72,66108.24
2025-09,T02,P003,Refrigeradora Bosch 280L,1,3461.09,3461.09
2025-09,T02,P004,Lavadora LG 15kg,14,3441.98,48187.72
2025-09,T02,P005,Lavadora Samsung 18kg,24,1893.74,45449.76
2025-09,T02,P006,Lavadora Whirlpool 14kg,20,2029.99,40599.8
2025-09,T02,P007,Secadora Electrolux 10kg,6,4433.71,26602.26
2025-09,T02,P008,Cocina a gas Indurama 4H,15,4266.75,64001.25
2025-09,T02,P009,Cocina eléctrica Mabe 4H,22,3856.95,84852.9
2025-09,T02,P010,Campana extractora Bosch,21,4498.87,94476.27
2025-09,T02,P011,Horno empotrado Electrolux,0,2894.84,0.0
2025-09,T02,P012,Lavaplatos Frigidaire,4,1451.86,5807.44
2025-09,T02,P013,Smart TV LG 55,20,2323.3,46466.0
2025-09,T02,P014,Smart TV Samsung 65,16,3039.59,48633.44
2025-09,T02,P015,Smart TV Sony 75,6,2164.0,12984.0
2025-09,T02,P016,Smart TV TCL 50,25,2709.58,67739.5
2025-09,T02,P017,TV OLED LG 65,16,4092.37,65477.92
2025-09,T02,P018,Soundbar Samsung 5.1,4,3523.12,14092.48
2025-09,T02,P019,Soundbar JBL 2.1,5,3105.5,15527.5
2025-09,T02,P020,Home theater Sony,21,1281.64,26914.44
2025-09,T02,P021,Parlante Bluetooth JBL,5,3545.85,17729.25
2025-09,T02,P022,Audífonos Sony WH-1000,12,2399.69,28796.28
2025-09,T02,P023,Barra Bose 900,8,2593.32,20746.56
2025-09,T02,P024,Receptor AV Yamaha,13,2515.95,32707.35
2025-09,T02,P025,Licuadora Oster 700W,68,560.29,38099.72
2025-09,T02,P026,Licuadora Philips 1000W,53,488.73,25902.69
2025-09,T02,P027,Microondas LG 32L,10,175.49,1754.9
2025-09,T02,P028,Microondas Panasonic 25L,49,495.21,24265.29
2025-09,T02,P029,Hervidor eléctrico Bosch,39,695.12,27109.68
2025-09,T02,P030,Cafetera DeLonghi,23,572.14,13159.22
2025-09,T02,P031,Freidora de aire Philips,44,482.65,21236.6
2025-09,T02,P032,Aspiradora Dyson V11,22,831.74,18298.28
2025-09,T02,P033,Plancha a vapor Rowenta,33,292.09,9638.97
2025-09,T02,P034,Batidora KitchenAid,59,424.37,25037.83
2025-09,T02,P035,Tostadora Oster,63,839.51,52889.13
2025-09,T02,P036,Purificador de agua,53,472.94,25065.82
2025-09,T02,P037,Laptop HP 15,9,2909.36,26184.24
2025-09,T02,P038,Laptop Lenovo ThinkPad,14,1283.74,17972.36
2025-09,T02,P039,Laptop Asus VivoBook,5,1940.93,9704.65
2025-09,T02,P040,Laptop Dell Inspiron,10,1625.7,16257.0
2025-09,T02,P041,Monitor LG 27,16,1361.33,21781.28
2025-09,T02,P042,Monitor Samsung 24,15,3525.39,52880.85
2025-09,T02,P043,Monitor BenQ 32,14,4126.52,57771.28
2025-09,T02,P044,Impresora Epson EcoTank,3,1538.5,4615.5
2025-09,T02,P045,Impresora HP LaserJet,16,3253.62,52057.92
2025-09,T02,P046,All-in-one Dell,25,2751.13,68778.25
2025-09,T02,P047,Mini PC Intel NUC,16,2790.97,44655.52
2025-09,T02,P048,Teclado mecánico Logitech,25,1955.46,48886.5
2025-09,T02,P049,Smartphone iPhone 15,8,4498.05,35984.4
2025-09,T02,P050,Smartphone Samsung S24,3,3357.35,10072.05
2025-09,T02,P051,Smartphone Xiaomi Redmi,6,2609.9,15659.4
2025-09,T02,P052,Tablet iPad 10,7,2665.39,18657.73
2025-09,T02,P053,Tablet Samsung Galaxy Tab,0,4689.64,0.0
2025-09,T02,P054,Smartwatch Apple Watch,2,4943.79,9887.58
2025-09,T02,P055,Smartwatch Samsung Galaxy,14,3000.78,42010.92
2025-09,T02,P056,Auriculares AirPods,20,3063.1,61262.0
2025-09,T02,P057,Cargador inalámbrico,10,3546.92,35469.2
2025-09,T02,P058,Funda protectora,13,1953.56,25396.28
2025-09,T02,P059,Power bank Anker,17,4119.13,70025.21
2025-09,T02,P060,Smartphone Motorola G84,25,2808.36,70209.0
2025-09,T02,P061,Aire acondicionado LG 12000BTU,11,1183.84,13022.24
2025-09,T02,P062,AC Samsung Inverter,1,1974.68,1974.68
2025-09,T02,P063,AC Midea 9000BTU,22,1094.48,24078.56
2025-09,T02,P064,Ventilador de pie,10,824.03,8240.3
2025-09,T02,P065,Ventilador de techo,22,774.62,17041.64
2025-09,T02,P066,Calefactor eléctrico,35,314.56,11009.6
2025-09,T02,P067,Humidificador,36,1528.5,55026.0
2025-09,T02,P068,Deshumidificador,34,1414.68,48099.12
2025-09,T02,P069,Purificador de aire Xiaomi,13,1143.54,14866.02
2025-09,T02,P070,Climatizador evaporativo,7,1269.63,8887.41
2025-09,T02,P071,Calefón a gas,39,1204.56,46977.84
2025-09,T02,P072,Terma eléctrica,17,2046.94,34797.98
2025-09,T02,P073,Secadora de cabello Gama,71,293.29,20823.59
2025-09,T02,P074,Plancha de cabello Babyliss,72,478.17,34428.24
2025-09,T02,P075,Afeitadora Philips,27,499.24,13479.48
2025-09,T02,P076,Cortadora de cabello Wahl,72,757.46,54537.12
2025-09,T02,P077,Cepillo dental eléctrico,37,742.53,27473.61
2025-09,T02,P078,Depiladora Braun,72,537.43,38694.96
2025-09,T02,P079,Afeitadora Braun,34,823.96,28014.64
2025-09,T02,P080,Espejo con luz LED,71,761.75,54084.25
2025-09,T02,P081,Masajeador eléctrico,16,339.66,5434.56
2025-09,T02,P082,Rizadora Conair,12,831.79,9981.48
2025-09,T02,P083,Kit de manicura,33,160.67,5302.11
2025-09,T02,P084,Balanza digital,12,645.25,7743.0
2025-09,T02,P085,Cable HDMI 2m,55,723.77,39807.35
2025-09,T02,P086,Cable USB-C,21,502.44,10551.24
2025-09,T02,P087,Mouse inalámbrico,13,451.39,5868.07
2025-09,T02,P088,Teclado inalámbrico,7,871.52,6100.64
2025-09,T02,P089,Audífonos con micrófono,45,873.16,39292.2
2025-09,T02,P090,Soporte para TV,23,770.8,17728.4
2025-09,T02,P091,Regulador de voltaje,80,472.9,37832.0
2025-09,T02,P092,Estabilizador,13,132.72,1725.36
2025-09,T02,P093,UPS 1000VA,64,298.5,19104.0
2025-09,T02,P094,Hub USB multipuerto,40,488.71,19548.4
2025-09,T02,P095,Tarjeta SD 128GB,35,159.26,5574.1
2025-09,T02,P096,Memoria USB 64GB,75,692.99,51974.25
2025-09,T03,P001,Refrigeradora LG 340L,2,2683.86,5367.72
2025-09,T03,P002,Refrigeradora Samsung 450L,9,3888.72,34998.48
2025-09,T03,P003,Refrigeradora Bosch 280L,10,3461.09,34610.9
2025-09,T03,P004,Lavadora LG 15kg,5,3441.98,17209.9
2025-09,T03,P005,Lavadora Samsung 18kg,8,1893.74,15149.92
2025-09,T03,P006,Lavadora Whirlpool 14kg,8,2029.99,16239.92
2025-09,T03,P007,Secadora Electrolux 10kg,2,4433.71,8867.42
2025-09,T03,P008,Cocina a gas Indurama 4H,0,4266.75,0.0
2025-09,T03,P009,Cocina eléctrica Mabe 4H,13,3856.95,50140.35
2025-09,T03,P010,Campana extractora Bosch,24,4498.87,107972.88
2025-09,T03,P011,Horno empotrado Electrolux,8,2894.84,23158.72
2025-09,T03,P012,Lavaplatos Frigidaire,13,1451.86,18874.18
2025-09,T03,P013,Smart TV LG 55,0,2323.3,0.0
2025-09,T03,P014,Smart TV Samsung 65,1,3039.59,3039.59
2025-09,T03,P015,Smart TV Sony 75,3,2164.0,6492.0
2025-09,T03,P016,Smart TV TCL 50,7,2709.58,18967.06
2025-09,T03,P017,TV OLED LG 65,0,4092.37,0.0
2025-09,T03,P018,Soundbar Samsung 5.1,9,3523.12,31708.08
2025-09,T03,P019,Soundbar JBL 2.1,3,3105.5,9316.5
2025-09,T03,P020,Home theater Sony,3,1281.64,3844.92
2025-09,T03,P021,Parlante Bluetooth JBL,21,3545.85,74462.85
2025-09,T03,P022,Audífonos Sony WH-1000,17,2399.69,40794.73
2025-09,T03,P023,Barra Bose 900,18,2593.32,46679.76
2025-09,T03,P024,Receptor AV Yamaha,11,2515.95,27675.45
2025-09,T03,P025,Licuadora Oster 700W,40,560.29,22411.6
2025-09,T03,P026,Licuadora Philips 1000W,58,488.73,28346.34
2025-09,T03,P027,Microondas LG 32L,77,175.49,13512.73
2025-09,T03,P028,Microondas Panasonic 25L,80,495.21,39616.8
2025-09,T03,P029,Hervidor eléctrico Bosch,78,695.12,54219.36
2025-09,T03,P030,Cafetera DeLonghi,4,572.14,2288.56
2025-09,T03,P031,Freidora de aire Philips,51,482.65,24615.15
2025-09,T03,P032,Aspiradora Dyson V11,40,831.74,33269.6
2025-09,T03,P033,Plancha a vapor Rowenta,77,292.09,22490.93
2025-09,T03,P034,Batidora KitchenAid,27,424.37,11457.99
2025-09,T03,P035,Tostadora Oster,76,839.51,63802.76
2025-09,T03,P036,Purificador de agua,59,472.94,27903.46
2025-09,T03,P037,Laptop HP 15,13,2909.36,37821.68
2025-09,T03,P038,Laptop Lenovo ThinkPad,21,1283.74,26958.54
2025-09,T03,P039,Laptop Asus VivoBook,3,1940.93,5822.79
2025-09,T03,P040,Laptop Dell Inspiron,21,1625.7,34139.7
2025-09,T03,P041,Monitor LG 27,11,1361.33,14974.63
2025-09,T03,P042,Monitor Samsung 24,16,3525.39,56406.24
2025-09,T03,P043,Monitor BenQ 32,21,4126.52,86656.92
2025-09,T03,P044,Impresora Epson EcoTank,8,1538.5,12308.0
2025-09,T03,P045,Impresora HP LaserJet,12,3253.62,39043.44
2025-09,T03,P046,All-in-one Dell,9,2751.13,24760.17
2025-09,T03,P047,Mini PC Intel NUC,11,2790.97,30700.67
2025-09,T03,P048,Teclado mecánico Logitech,1,1955.46,1955.46
2025-09,T03,P049,Smartphone iPhone 15,23,4498.05,103455.15
2025-09,T03,P050,Smartphone Samsung S24,22,3357.35,73861.7
2025-09,T03,P051,Smartphone Xiaomi Redmi,13,2609.9,33928.7
2025-09,T03,P052,Tablet iPad 10,0,2665.39,0.0
2025-09,T03,P053,Tablet Samsung Galaxy Tab,9,4689.64,42206.76
2025-09,T03,P054,Smartwatch Apple Watch,22,4943.79,108763.38
2025-09,T03,P055,Smartwatch Samsung Galaxy,10,3000.78,30007.8
2025-09,T03,P056,Auriculares AirPods,9,3063.1,27567.9
2025-09,T03,P057,Cargador inalámbrico,23,3546.92,81579.16
2025-09,T03,P058,Funda protectora,24,1953.56,46885.44
2025-09,T03,P059,Power bank Anker,25,4119.13,102978.25
2025-09,T03,P060,Smartphone Motorola G84,3,2808.36,8425.08
2025-09,T03,P061,Aire acondicionado LG 12000BTU,19,1183.84,22492.96
2025-09,T03,P062,AC Samsung Inverter,26,1974.68,51341.68
2025-09,T03,P063,AC Midea 9000BTU,20,1094.48,21889.6
2025-09,T03,P064,Ventilador de pie,37,824.03,30489.11
2025-09,T03,P065,Ventilador de techo,1,774.62,774.62
2025-09,T03,P066,Calefactor eléctrico,34,314.56,10695.04
2025-09,T03,P067,Humidificador,21,1528.5,32098.5
2025-09,T03,P068,Deshumidificador,12,1414.68,16976.16
2025-09,T03,P069,Purificador de aire Xiaomi,35,1143.54,40023.9
2025-09,T03,P070,Climatizador evaporativo,3,1269.63,3808.89
2025-09,T03,P071,Calefón a gas,7,1204.56,8431.92
2025-09,T03,P072,Terma eléctrica,10,2046.94,20469.4
2025-09,T03,P073,Secadora de cabello Gama,79,293.29,23169.91
2025-09,T03,P074,Plancha de cabello Babyliss,15,478.17,7172.55
2025-09,T03,P075,Afeitadora Philips,15,499.24,7488.6
2025-09,T03,P076,Cortadora de cabello Wahl,4,757.46,3029.84
2025-09,T03,P077,Cepillo dental eléctrico,16,742.53,11880.48
2025-09,T03,P078,Depiladora Braun,66,537.43,35470.38
2025-09,T03,P079,Afeitadora Braun,45,823.96,37078.2
2025-09,T03,P080,Espejo con luz LED,76,761.75,57893.0
2025-09,T03,P081,Masajeador eléctrico,38,339.66,12907.08
2025-09,T03,P082,Rizadora Conair,3,831.79,2495.37
2025-09,T03,P083,Kit de manicura,54,160.67,8676.18
2025-09,T03,P084,Balanza digital,74,645.25,47748.5
2025-09,T03,P085,Cable HDMI 2m,16,723.77,11580.32
2025-09,T03,P086,Cable USB-C,45,502.44,22609.8
2025-09,T03,P087,Mouse inalámbrico,53,451.39,23923.67
2025-09,T03,P088,Teclado inalámbrico,49,871.52,42704.48
2025-09,T03,P089,Audífonos con micrófono,48,873.16,41911.68
2025-09,T03,P090,Soporte para TV,30,770.8,23124.0
2025-09,T03,P091,Regulador de voltaje,53,472.9,25063.7
2025-09,T03,P092,Estabilizador,28,132.72,3716.16
2025-09,T03,P093,UPS 1000VA,16,298.5,4776.0
2025-09,T03,P094,Hub USB multipuerto,23,488.71,11240.33
2025-09,T03,P095,Tarjeta SD 128GB,69,159.26,10988.94
2025-09,T03,P096,Memoria USB 64GB,3,692.99,2078.97
2025-09,T04,P001,Refrigeradora LG 340L,21,2683.86,56361.06
2025-09,T04,P002,Refrigeradora Samsung 450L,22,3888.72,85551.84
2025-09,T04,P003,Refrigeradora Bosch 280L,17,3461.09,58838.53
2025-09,T04,P004,Lavadora LG 15kg,21,3441.98,72281.58
2025-09,T04,P005,Lavadora Samsung 18kg,17,1893.74,32193.58
2025-09,T04,P006,Lavadora Whirlpool 14kg,12,2029.99,24359.88
2025-09,T04,P007,Secadora Electrolux 10kg,8,4433.71,35469.68
2025-09,T04,P008,Cocina a gas Indurama 4H,25,4266.75,106668.75
2025-09,T04,P009,Cocina eléctrica Mabe 4H,4,3856.95,15427.8
2025-09,T04,P010,Campana extractora Bosch,7,4498.87,31492.09
2025-09,T04,P011,Horno empotrado Electrolux,0,2894.84,0.0
2025-09,T04,P012,Lavaplatos Frigidaire,0,1451.86,0.0
2025-09,T04,P013,Smart TV LG 55,8,2323.3,18586.4
2025-09,T04,P014,Smart TV Samsung 65,17,3039.59,51673.03
2025-09,T04,P015,Smart TV Sony 75,15,2164.0,32460.0
2025-09,T04,P016,Smart TV TCL 50,13,2709.58,35224.54
2025-09,T04,P017,TV OLED LG 65,8,4092.37,32738.96
2025-09,T04,P018,Soundbar Samsung 5.1,10,3523.12,35231.2
2025-09,T04,P019,Soundbar JBL 2.1,4,3105.5,12422.0
2025-09,T04,P020,Home theater Sony,20,1281.64,25632.8
2025-09,T04,P021,Parlante Bluetooth JBL,18,3545.85,63825.3
2025-09,T04,P022,Audífonos Sony WH-1000,2,2399.69,4799.38
2025-09,T04,P023,Barra Bose 900,5,2593.32,12966.6
2025-09,T04,P024,Receptor AV Yamaha,17,2515.95,42771.15
2025-09,T04,P025,Licuadora Oster 700W,4,560.29,2241.16
2025-09,T04,P026,Licuadora Philips 1000W,65,488.73,31767.45
2025-09,T04,P027,Microondas LG 32L,33,175.49,5791.17
2025-09,T04,P028,Microondas Panasonic 25L,43,495.21,21294.03
2025-09,T04,P029,Hervidor eléctrico Bosch,66,695.12,45877.92
2025-09,T04,P030,Cafetera DeLonghi,40,572.14,22885.6
2025-09,T04,P031,Freidora de aire Philips,7,482.65,3378.55
2025-09,T04,P032,Aspiradora Dyson V11,1,831.74,831.74
2025-09,T04,P033,Plancha a vapor Rowenta,80,292.09,23367.2
2025-09,T04,P034,Batidora KitchenAid,31,424.37,13155.47
2025-09,T04,P035,Tostadora Oster,60,839.51,50370.6
2025-09,T04,P036,Purificador de agua,7,472.94,3310.58
2025-09,T04,P037,Laptop HP 15,7,2909.36,20365.52
2025-09,T04,P038,Laptop Lenovo ThinkPad,21,1283.74,26958.54
2025-09,T04,P039,Laptop Asus VivoBook,16,1940.93,31054.88
2025-09,T04,P040,Laptop Dell Inspiron,4,1625.7,6502.8
2025-09,T04,P041,Monitor LG 27,23,1361.33,31310.59
2025-09,T04,P042,Monitor Samsung 24,12,3525.39,42304.68
2025-09,T04,P043,Monitor BenQ 32,22,4126.52,90783.44
2025-09,T04,P044,Impresora Epson EcoTank,11,1538.5,16923.5
2025-09,T04,P045,Impresora HP LaserJet,25,3253.62,81340.5
2025-09,T04,P046,All-in-one Dell,7,2751.13,19257.91
2025-09,T04,P047,Mini PC Intel NUC,17,2790.97,47446.49
2025-09,T04,P048,Teclado mecánico Logitech,8,1955.46,15643.68
2025-09,T04,P049,Smartphone iPhone 15,10,4498.05,44980.5
2025-09,T04,P050,Smartphone Samsung S24,6,3357.35,20144.1
2025-09,T04,P051,Smartphone Xiaomi Redmi,11,2609.9,28708.9
2025-09,T04,P052,Tablet iPad 10,11,2665.39,29319.29
2025-09,T04,P053,Tablet Samsung Galaxy Tab,14,4689.64,65654.96
2025-09,T04,P054,Smartwatch Apple Watch,20,4943.79,98875.8
2025-09,T04,P055,Smartwatch Samsung Galaxy,14,3000.78,42010.92
2025-09,T04,P056,Auriculares AirPods,17,3063.1,52072.7
2025-09,T04,P057,Cargador inalámbrico,25,3546.92,88673.0
2025-09,T04,P058,Funda protectora,15,1953.56,29303.4
2025-09,T04,P059,Power bank Anker,25,4119.13,102978.25
2025-09,T04,P060,Smartphone Motorola G84,21,2808.36,58975.56
2025-09,T04,P061,Aire acondicionado LG 12000BTU,37,1183.84,43802.08
2025-09,T04,P062,AC Samsung Inverter,19,1974.68,37518.92
2025-09,T04,P063,AC Midea 9000BTU,12,1094.48,13133.76
2025-09,T04,P064,Ventilador de pie,10,824.03,8240.3
2025-09,T04,P065,Ventilador de techo,40,774.62,30984.8
2025-09,T04,P066,Calefactor eléctrico,26,314.56,8178.56
2025-09,T04,P067,Humidificador,9,1528.5,13756.5
2025-09,T04,P068,Deshumidificador,31,1414.68,43855.08
2025-09,T04,P069,Purificador de aire Xiaomi,0,1143.54,0.0
2025-09,T04,P070,Climatizador evaporativo,22,1269.63,27931.86
2025-09,T04,P071,Calefón a gas,33,1204.56,39750.48
2025-09,T04,P072,Terma eléctrica,26,2046.94,53220.44
2025-09,T04,P073,Secadora de cabello Gama,4,293.29,1173.16
2025-09,T04,P074,Plancha de cabello Babyliss,22,478.17,10519.74
2025-09,T04,P075,Afeitadora Philips,10,499.24,4992.4
2025-09,T04,P076,Cortadora de cabello Wahl,38,757.46,28783.48
2025-09,T04,P077,Cepillo dental eléctrico,47,742.53,34898.91
2025-09,T04,P078,Depiladora Braun,69,537.43,37082.67
2025-09,T04,P079,Afeitadora Braun,33,823.96,27190.68
2025-09,T04,P080,Espejo con luz LED,17,761.75,12949.75
2025-09,T04,P081,Masajeador eléctrico,12,339.66,4075.92
2025-09,T04,P082,Rizadora Conair,2,831.79,1663.58
2025-09,T04,P083,Kit de manicura,68,160.67,10925.56
2025-09,T04,P084,Balanza digital,27,645.25,17421.75
2025-09,T04,P085,Cable HDMI 2m,74,723.77,53558.98
2025-09,T04,P086,Cable USB-C,39,502.44,19595.16
2025-09,T04,P087,Mouse inalámbrico,73,451.39,32951.47
2025-09,T04,P088,Teclado inalámbrico,5,871.52,4357.6
2025-09,T04,P089,Audífonos con micrófono,50,873.16,43658.0
2025-09,T04,P090,Soporte para TV,48,770.8,36998.4
2025-09,T04,P091,Regulador de voltaje,68,472.9,32157.2
2025-09,T04,P092,Estabilizador,66,132.72,8759.52
2025-09,T04,P093,UPS 1000VA,20,298.5,5970.0
2025-09,T04,P094,Hub USB multipuerto,65,488.71,31766.15
2025-09,T04,P095,Tarjeta SD 128GB,13,159.26,2070.38
2025-09,T04,P096,Memoria USB 64GB,10,692.99,6929.9
2025-09,T05,P001,Refrigeradora LG 340L,4,2683.86,10735.44
2025-09,T05,P002,Refrigeradora Samsung 450L,23,3888.72,89440.56
2025-09,T05,P003,Refrigeradora Bosch 280L,12,3461.09,41533.08
2025-09,T05,P004,Lavadora LG 15kg,10,3441.98,34419.8
2025-09,T05,P005,Lavadora Samsung 18kg,17,1893.74,32193.58
2025-09,T05,P006,Lavadora Whirlpool 14kg,8,2029.99,16239.92
2025-09,T05,P007,Secadora Electrolux 10kg,9,4433.71,39903.39
2025-09,T05,P008,Cocina a gas Indurama 4H,1,4266.75,4266.75
2025-09,T05,P009,Cocina eléctrica Mabe 4H,23,3856.95,88709.85
2025-09,T05,P010,Campana extractora Bosch,18,4498.87,80979.66
2025-09,T05,P011,Horno empotrado Electrolux,21,2894.84,60791.64
2025-09,T05,P012,Lavaplatos Frigidaire,25,1451.86,36296.5
2025-09,T05,P013,Smart TV LG 55,6,2323.3,13939.8
2025-09,T05,P014,Smart TV Samsung 65,5,3039.59,15197.95
2025-09,T05,P015,Smart TV Sony 75,9,2164.0,19476.0
2025-09,T05,P016,Smart TV TCL 50,9,2709.58,24386.22
2025-09,T05,P017,TV OLED LG 65,17,4092.37,69570.29
2025-09,T05,P018,Soundbar Samsung 5.1,9,3523.12,31708.08
2025-09,T05,P019,Soundbar JBL 2.1,11,3105.5,34160.5
2025-09,T05,P020,Home theater Sony,4,1281.64,5126.56
2025-09,T05,P021,Parlante Bluetooth JBL,12,3545.85,42550.2
2025-09,T05,P022,Audífonos Sony WH-1000,6,2399.69,14398.14
2025-09,T05,P023,Barra Bose 900,23,2593.32,59646.36
