tienda_id,centro_distribucion,ciudad,producto_id,producto,categoria,stock_actual,ventas_promedio_mensual,stock_minimo,precio_costo,precio_venta
T01,CD-Lima,Lima,P053,Tablet Samsung Galaxy Tab,Celulares y Tablets,32,15.58,3,3376.54,4689.64
T01,CD-Lima,Lima,P054,Smartwatch Apple Watch,Celulares y Tablets,10,11.08,2,3559.53,4943.79
T01,CD-Lima,Lima,P055,Smartwatch Samsung Galaxy,Celulares y Tablets,11,12.42,2,2160.56,3000.78
T01,CD-Lima,Lima,P056,Auriculares AirPods,Celulares y Tablets,5,16.58,3,2205.43,3063.1
T01,CD-Lima,Lima,P057,Cargador inalámbrico,Celulares y Tablets,8,10.0,2,2553.78,3546.92
T01,CD-Lima,Lima,P058,Funda protectora,Celulares y Tablets,10,9.58,2,1406.56,1953.56
T01,CD-Lima,Lima,P059,Power bank Anker,Celulares y Tablets,2,12.0,2,2965.77,4119.13
T01,CD-Lima,Lima,P060,Smartphone Motorola G84,Celulares y Tablets,1,13.0,3,2022.02,2808.36
T01,CD-Lima,Lima,P061,Aire acondicionado LG 12000BTU,Climatización,58,24.25,5,852.36,1183.84
T01,CD-Lima,Lima,P062,AC Samsung Inverter,Climatización,23,14.75,3,1421.77,1974.68
T01,CD-Lima,Lima,P063,AC Midea 9000BTU,Climatización,21,19.33,4,788.03,1094.48
T01,CD-Lima,Lima,P064,Ventilador de pie,Climatización,28,19.25,4,593.3,824.03
T01,CD-Lima,Lima,P065,Ventilador de techo,Climatización,40,18.25,4,557.73,774.62
T01,CD-Lima,Lima,P066,Calefactor eléctrico,Climatización,6,13.0,3,226.48,314.56
T01,CD-Lima,Lima,P067,Humidificador,Climatización,50,21.67,4,1100.52,1528.5
T01,CD-Lima,Lima,P068,Deshumidificador,Climatización,43,24.67,5,1018.57,1414.68
T01,CD-Lima,Lima,P069,Purificador de aire Xiaomi,Climatización,30,22.25,4,823.35,1143.54
T01,CD-Lima,Lima,P070,Climatizador evaporativo,Climatización,18,22.08,4,914.13,1269.63
T01,CD-Lima,Lima,P071,Calefón a gas,Climatización,2,17.42,3,867.28,1204.56
T01,CD-Lima,Lima,P072,Terma eléctrica,Climatización,12,19.17,4,1473.8,2046.94
T01,CD-Lima,Lima,P073,Secadora de cabello Gama,Cuidado Personal,101,46.58,9,211.17,293.29
T01,CD-Lima,Lima,P074,Plancha de cabello Babyliss,Cuidado Personal,48,27.25,5,344.28,478.17
T01,CD-Lima,Lima,P075,Afeitadora Philips,Cuidado Personal,17,37.67,8,359.45,499.24
T01,CD-Lima,Lima,P076,Cortadora de cabello Wahl,Cuidado Personal,55,36.5,7,545.37,757.46
T01,CD-Lima,Lima,P077,Cepillo dental eléctrico,Cuidado Personal,100,47.83,10,534.62,742.53
T01,CD-Lima,Lima,P078,Depiladora Braun,Cuidado Personal,46,37.42,7,386.95,537.43
T01,CD-Lima,Lima,P079,Afeitadora Braun,Cuidado Personal,90,37.5,8,593.25,823.96
T01,CD-Lima,Lima,P080,Espejo con luz LED,Cuidado Personal,38,40.92,8,548.46,761.75
T01,CD-Lima,Lima,P081,Masajeador eléctrico,Cuidado Personal,0,53.92,11,244.56,339.66
T01,CD-Lima,Lima,P082,Rizadora Conair,Cuidado Personal,68,40.58,8,598.89,831.79
T01,CD-Lima,Lima,P083,Kit de manicura,Cuidado Personal,86,49.17,10,115.68,160.67
T01,CD-Lima,Lima,P084,Balanza digital,Cuidado Personal,40,40.0,8,464.58,645.25
T01,CD-Lima,Lima,P085,Cable HDMI 2m,Accesorios,80,45.92,9,521.11,723.77
T01,CD-Lima,Lima,P086,Cable USB-C,Accesorios,24,33.17,7,361.76,502.44
T01,CD-Lima,Lima,P087,Mouse inalámbrico,Accesorios,90,38.08,8,325.0,451.39
T01,CD-Lima,Lima,P088,Teclado inalámbrico,Accesorios,43,42.75,9,627.49,871.52
T01,CD-Lima,Lima,P089,Audífonos con micrófono,Accesorios,15,37.17,7,628.68,873.16
T01,CD-Lima,Lima,P090,Soporte para TV,Accesorios,17,41.0,8,554.98,770.8
T01,CD-Lima,Lima,P091,Regulador de voltaje,Accesorios,11,36.42,7,340.49,472.9
T01,CD-Lima,Lima,P092,Estabilizador,Accesorios,83,45.5,9,95.56,132.72
T01,CD-Lima,Lima,P093,UPS 1000VA,Accesorios,36,25.83,5,214.92,298.5
T01,CD-Lima,Lima,P094,Hub USB multipuerto,Accesorios,25,32.42,6,351.87,488.71
T01,CD-Lima,Lima,P095,Tarjeta SD 128GB,Accesorios,91,42.5,8,114.67,159.26
T01,CD-Lima,Lima,P096,Memoria USB 64GB,Accesorios,0,32.33,6,498.95,692.99
T02,CD-Lima,Lima,P001,Refrigeradora LG 340L,Línea Blanca,20,10.83,2,1932.38,2683.86
T02,CD-Lima,Lima,P002,Refrigeradora Samsung 450L,Línea Blanca,7,11.58,2,2799.88,3888.72
T02,CD-Lima,Lima,P003,Refrigeradora Bosch 280L,Línea Blanca,11,11.83,2,2491.98,3461.09
T02,CD-Lima,Lima,P004,Lavadora LG 15kg,Línea Blanca,9,12.5,2,2478.23,3441.98
T02,CD-Lima,Lima,P005,Lavadora Samsung 18kg,Línea Blanca,4,13.08,3,1363.49,1893.74
T02,CD-Lima,Lima,P006,Lavadora Whirlpool 14kg,Línea Blanca,11,16.42,3,1461.59,2029.99
T02,CD-Lima,Lima,P007,Secadora Electrolux 10kg,Línea Blanca,11,13.5,3,3192.27,4433.71
T02,CD-Lima,Lima,P008,Cocina a gas Indurama 4H,Línea Blanca,27,13.25,3,3072.06,4266.75
T02,CD-Lima,Lima,P009,Cocina eléctrica Mabe 4H,Línea Blanca,3,12.92,3,2777.0,3856.95
T02,CD-Lima,Lima,P010,Campana extractora Bosch,Línea Blanca,19,10.92,2,3239.19,4498.87
T02,CD-Lima,Lima,P011,Horno empotrado Electrolux,Línea Blanca,15,12.67,3,2084.28,2894.84
T02,CD-Lima,Lima,P012,Lavaplatos Frigidaire,Línea Blanca,22,14.42,3,1045.34,1451.86
T02,CD-Lima,Lima,P013,Smart TV LG 55,TV y Audio,2,13.17,3,1672.78,2323.3
T02,CD-Lima,Lima,P014,Smart TV Samsung 65,TV y Audio,7,7.92,2,2188.5,3039.59
T02,CD-Lima,Lima,P015,Smart TV Sony 75,TV y Audio,1,14.33,3,1558.08,2164.0
T02,CD-Lima,Lima,P016,Smart TV TCL 50,TV y Audio,26,15.25,3,1950.9,2709.58
T02,CD-Lima,Lima,P017,TV OLED LG 65,TV y Audio,6,11.67,2,2946.51,4092.37
T02,CD-Lima,Lima,P018,Soundbar Samsung 5.1,TV y Audio,10,8.5,2,2536.65,3523.12
T02,CD-Lima,Lima,P019,Soundbar JBL 2.1,TV y Audio,21,9.92,2,2235.96,3105.5
T02,CD-Lima,Lima,P020,Home theater Sony,TV y Audio,31,13.33,3,922.78,1281.64
T02,CD-Lima,Lima,P021,Parlante Bluetooth JBL,TV y Audio,8,9.5,2,2553.01,3545.85
T02,CD-Lima,Lima,P022,Audífonos Sony WH-1000,TV y Audio,8,12.67,3,1727.78,2399.69
T02,CD-Lima,Lima,P023,Barra Bose 900,TV y Audio,41,18.17,4,1867.19,2593.32
T02,CD-Lima,Lima,P024,Receptor AV Yamaha,TV y Audio,25,12.5,2,1811.48,2515.95
T02,CD-Lima,Lima,P025,Licuadora Oster 700W,Pequeños Electrodomésticos,68,46.92,9,403.41,560.29
T02,CD-Lima,Lima,P026,Licuadora Philips 1000W,Pequeños Electrodomésticos,116,47.08,9,351.89,488.73
T02,CD-Lima,Lima,P027,Microondas LG 32L,Pequeños Electrodomésticos,67,37.08,7,126.35,175.49
T02,CD-Lima,Lima,P028,Microondas Panasonic 25L,Pequeños Electrodomésticos,22,28.33,6,356.55,495.21
T02,CD-Lima,Lima,P029,Hervidor eléctrico Bosch,Pequeños Electrodomésticos,88,45.75,9,500.49,695.12
T02,CD-Lima,Lima,P030,Cafetera DeLonghi,Pequeños Electrodomésticos,44,38.75,8,411.94,572.14
T02,CD-Lima,Lima,P031,Freidora de aire Philips,Pequeños Electrodomésticos,52,48.5,10,347.51,482.65
T02,CD-Lima,Lima,P032,Aspiradora Dyson V11,Pequeños Electrodomésticos,91,49.75,10,598.85,831.74
T02,CD-Lima,Lima,P033,Plancha a vapor Rowenta,Pequeños Electrodomésticos,9,29.67,6,210.3,292.09
T02,CD-Lima,Lima,P034,Batidora KitchenAid,Pequeños Electrodomésticos,118,52.17,10,305.55,424.37
T02,CD-Lima,Lima,P035,Tostadora Oster,Pequeños Electrodomésticos,125,56.0,11,604.45,839.51
T02,CD-Lima,Lima,P036,Purificador de agua,Pequeños Electrodomésticos,72,40.58,8,340.52,472.94
T02,CD-Lima,Lima,P037,Laptop HP 15,Cómputo,12,7.75,2,2094.74,2909.36
T02,CD-Lima,Lima,P038,Laptop Lenovo ThinkPad,Cómputo,30,12.42,2,924.29,1283.74
T02,CD-Lima,Lima,P039,Laptop Asus VivoBook,Cómputo,5,11.75,2,1397.47,1940.93
T02,CD-Lima,Lima,P040,Laptop Dell Inspiron,Cómputo,13,9.5,2,1170.5,1625.7
T02,CD-Lima,Lima,P041,Monitor LG 27,Cómputo,20,10.25,2,980.16,1361.33
T02,CD-Lima,Lima,P042,Monitor Samsung 24,Cómputo,31,13.42,3,2538.28,3525.39
T02,CD-Lima,Lima,P043,Monitor BenQ 32,Cómputo,0,12.83,3,2971.09,4126.52
T02,CD-Lima,Lima,P044,Impresora Epson EcoTank,Cómputo,3,11.42,2,1107.72,1538.5
T02,CD-Lima,Lima,P045,Impresora HP LaserJet,Cómputo,20,11.83,2,2342.61,3253.62
T02,CD-Lima,Lima,P046,All-in-one Dell,Cómputo,7,12.08,2,1980.81,2751.13
T02,CD-Lima,Lima,P047,Mini PC Intel NUC,Cómputo,11,12.08,2,2009.5,2790.97
T02,CD-Lima,Lima,P048,Teclado mecánico Logitech,Cómputo,15,10.75,2,1407.93,1955.46
T02,CD-Lima,Lima,P049,Smartphone iPhone 15,Celulares y Tablets,9,13.25,3,3238.6,4498.05
T02,CD-Lima,Lima,P050,Smartphone Samsung S24,Celulares y Tablets,28,12.92,3,2417.29,3357.35
T02,CD-Lima,Lima,P051,Smartphone Xiaomi Redmi,Celulares y Tablets,17,14.67,3,1879.13,2609.9
T02,CD-Lima,Lima,P052,Tablet iPad 10,Celulares y Tablets,13,12.33,2,1919.08,2665.39
T02,CD-Lima,Lima,P053,Tablet Samsung Galaxy Tab,Celulares y Tablets,14,12.25,2,3376.54,4689.64
T02,CD-Lima,Lima,P054,Smartwatch Apple Watch,Celulares y Tablets,5,13.67,3,3559.53,4943.79
T02,CD-Lima,Lima,P055,Smartwatch Samsung Galaxy,Celulares y Tablets,0,11.92,2,2160.56,3000.78
T02,CD-Lima,Lima,P056,Auriculares AirPods,Celulares y Tablets,3,12.67,3,2205.43,3063.1
T02,CD-Lima,Lima,P057,Cargador inalámbrico,Celulares y Tablets,34,14.5,3,2553.78,3546.92
T02,CD-Lima,Lima,P058,Funda protectora,Celulares y Tablets,31,13.25,3,1406.56,1953.56
T02,CD-Lima,Lima,P059,Power bank Anker,Celulares y Tablets,12,10.83,2,2965.77,4119.13
T02,CD-Lima,Lima,P060,Smartphone Motorola G84,Celulares y Tablets,7,14.42,3,2022.02,2808.36
T02,CD-Lima,Lima,P061,Aire acondicionado LG 12000BTU,Climatización,24,24.58,5,852.36,1183.84
T02,CD-Lima,Lima,P062,AC Samsung Inverter,Climatización,35,16.5,3,1421.77,1974.68
T02,CD-Lima,Lima,P063,AC Midea 9000BTU,Climatización,36,20.75,4,788.03,1094.48
T02,CD-Lima,Lima,P064,Ventilador de pie,Climatización,42,17.0,3,593.3,824.03
T02,CD-Lima,Lima,P065,Ventilador de techo,Climatización,49,20.33,4,557.73,774.62
T02,CD-Lima,Lima,P066,Calefactor eléctrico,Climatización,16,15.92,3,226.48,314.56
T02,CD-Lima,Lima,P067,Humidificador,Climatización,31,19.42,4,1100.52,1528.5
T02,CD-Lima,Lima,P068,Deshumidificador,Climatización,47,24.08,5,1018.57,1414.68
T02,CD-Lima,Lima,P069,Purificador de aire Xiaomi,Climatización,36,15.33,3,823.35,1143.54
T02,CD-Lima,Lima,P070,Climatizador evaporativo,Climatización,21,17.83,4,914.13,1269.63
T02,CD-Lima,Lima,P071,Calefón a gas,Climatización,63,25.33,5,867.28,1204.56
T02,CD-Lima,Lima,P072,Terma eléctrica,Climatización,36,19.58,4,1473.8,2046.94
T02,CD-Lima,Lima,P073,Secadora de cabello Gama,Cuidado Personal,2,36.92,7,211.17,293.29
T02,CD-Lima,Lima,P074,Plancha de cabello Babyliss,Cuidado Personal,40,50.83,10,344.28,478.17
T02,CD-Lima,Lima,P075,Afeitadora Philips,Cuidado Personal,73,41.83,8,359.45,499.24
T02,CD-Lima,Lima,P076,Cortadora de cabello Wahl,Cuidado Personal,94,46.33,9,545.37,757.46
T02,CD-Lima,Lima,P077,Cepillo dental eléctrico,Cuidado Personal,74,52.5,10,534.62,742.53
T02,CD-Lima,Lima,P078,Depiladora Braun,Cuidado Personal,62,49.0,10,386.95,537.43
T02,CD-Lima,Lima,P079,Afeitadora Braun,Cuidado Personal,2,40.42,8,593.25,823.96
T02,CD-Lima,Lima,P080,Espejo con luz LED,Cuidado Personal,98,43.17,9,548.46,761.75
T02,CD-Lima,Lima,P081,Masajeador eléctrico,Cuidado Personal,30,28.33,6,244.56,339.66
T02,CD-Lima,Lima,P082,Rizadora Conair,Cuidado Personal,18,36.33,7,598.89,831.79
T02,CD-Lima,Lima,P083,Kit de manicura,Cuidado Personal,4,41.0,8,115.68,160.67
T02,CD-Lima,Lima,P084,Balanza digital,Cuidado Personal,15,26.75,5,464.58,645.25
T02,CD-Lima,Lima,P085,Cable HDMI 2m,Accesorios,23,40.17,8,521.11,723.77
T02,CD-Lima,Lima,P086,Cable USB-C,Accesorios,46,39.33,8,361.76,502.44
T02,CD-Lima,Lima,P087,Mouse inalámbrico,Accesorios,79,52.17,10,325.0,451.39
T02,CD-Lima,Lima,P088,Teclado inalámbrico,Accesorios,115,47.33,9,627.49,871.52
T02,CD-Lima,Lima,P089,Audífonos con micrófono,Accesorios,8,19.58,4,628.68,873.16
T02,CD-Lima,Lima,P090,Soporte para TV,Accesorios,59,42.42,8,554.98,770.8
T02,CD-Lima,Lima,P091,Regulador de voltaje,Accesorios,24,42.42,8,340.49,472.9
T02,CD-Lima,Lima,P092,Estabilizador,Accesorios,9,37.83,8,95.56,132.72
T02,CD-Lima,Lima,P093,UPS 1000VA,Accesorios,54,36.17,7,214.92,298.5
T02,CD-Lima,Lima,P094,Hub USB multipuerto,Accesorios,12,37.5,8,351.87,488.71
T02,CD-Lima,Lima,P095,Tarjeta SD 128GB,Accesorios,15,30.17,6,114.67,159.26
T02,CD-Lima,Lima,P096,Memoria USB 64GB,Accesorios,12,40.92,8,498.95,692.99
T03,CD-Lima,Lima,P001,Refrigeradora LG 340L,Línea Blanca,7,13.0,3,1932.38,2683.86
T03,CD-Lima,Lima,P002,Refrigeradora Samsung 450L,Línea Blanca,11,9.75,2,2799.88,3888.72
T03,CD-Lima,Lima,P003,Refrigeradora Bosch 280L,Línea Blanca,29,12.83,3,2491.98,3461.09
T03,CD-Lima,Lima,P004,Lavadora LG 15kg,Línea Blanca,3,10.75,2,2478.23,3441.98
T03,CD-Lima,Lima,P005,Lavadora Samsung 18kg,Línea Blanca,19,11.58,2,1363.49,1893.74
T03,CD-Lima,Lima,P006,Lavadora Whirlpool 14kg,Línea Blanca,17,12.5,2,1461.59,2029.99
T03,CD-Lima,Lima,P007,Secadora Electrolux 10kg,Línea Blanca,19,11.83,2,3192.27,4433.71
T03,CD-Lima,Lima,P008,Cocina a gas Indurama 4H,Línea Blanca,10,11.25,2,3072.06,4266.75
T03,CD-Lima,Lima,P009,Cocina eléctrica Mabe 4H,Línea Blanca,24,13.42,3,2777.0,3856.95
T03,CD-Lima,Lima,P010,Campana extractora Bosch,Línea Blanca,35,14.92,3,3239.19,4498.87
T03,CD-Lima,Lima,P011,Horno empotrado Electrolux,Línea Blanca,12,11.67,2,2084.28,2894.84
T03,CD-Lima,Lima,P012,Lavaplatos Frigidaire,Línea Blanca,33,16.42,3,1045.34,1451.86
T03,CD-Lima,Lima,P013,Smart TV LG 55,TV y Audio,9,11.83,2,1672.78,2323.3
T03,CD-Lima,Lima,P014,Smart TV Samsung 65,TV y Audio,7,10.08,2,2188.5,3039.59
T03,CD-Lima,Lima,P015,Smart TV Sony 75,TV y Audio,9,9.58,2,1558.08,2164.0
T03,CD-Lima,Lima,P016,Smart TV TCL 50,TV y Audio,1,7.42,1,1950.9,2709.58
T03,CD-Lima,Lima,P017,TV OLED LG 65,TV y Audio,11,11.58,2,2946.51,4092.37
T03,CD-Lima,Lima,P018,Soundbar Samsung 5.1,TV y Audio,22,12.33,2,2536.65,3523.12
T03,CD-Lima,Lima,P019,Soundbar JBL 2.1,TV y Audio,17,15.75,3,2235.96,3105.5
T03,CD-Lima,Lima,P020,Home theater Sony,TV y Audio,22,12.33,2,922.78,1281.64
T03,CD-Lima,Lima,P021,Parlante Bluetooth JBL,TV y Audio,21,11.67,2,2553.01,3545.85
T03,CD-Lima,Lima,P022,Audífonos Sony WH-1000,TV y Audio,7,12.67,3,1727.78,2399.69
T03,CD-Lima,Lima,P023,Barra Bose 900,TV y Audio,23,12.0,2,1867.19,2593.32
T03,CD-Lima,Lima,P024,Receptor AV Yamaha,TV y Audio,7,12.58,3,1811.48,2515.95
T03,CD-Lima,Lima,P025,Licuadora Oster 700W,Pequeños Electrodomésticos,83,48.08,10,403.41,560.29
T03,CD-Lima,Lima,P026,Licuadora Philips 1000W,Pequeños Electrodomésticos,8,42.33,8,351.89,488.73
T03,CD-Lima,Lima,P027,Microondas LG 32L,Pequeños Electrodomésticos,31,44.75,9,126.35,175.49
T03,CD-Lima,Lima,P028,Microondas Panasonic 25L,Pequeños Electrodomésticos,122,58.33,12,356.55,495.21
T03,CD-Lima,Lima,P029,Hervidor eléctrico Bosch,Pequeños Electrodomésticos,32,50.67,10,500.49,695.12
T03,CD-Lima,Lima,P030,Cafetera DeLonghi,Pequeños Electrodomésticos,6,41.42,8,411.94,572.14
T03,CD-Lima,Lima,P031,Freidora de aire Philips,Pequeños Electrodomésticos,14,43.67,9,347.51,482.65
T03,CD-Lima,Lima,P032,Aspiradora Dyson V11,Pequeños Electrodomésticos,92,37.33,7,598.85,831.74
T03,CD-Lima,Lima,P033,Plancha a vapor Rowenta,Pequeños Electrodomésticos,62,43.75,9,210.3,292.09
T03,CD-Lima,Lima,P034,Batidora KitchenAid,Pequeños Electrodomésticos,58,49.17,10,305.55,424.37
T03,CD-Lima,Lima,P035,Tostadora Oster,Pequeños Electrodomésticos,12,45.5,9,604.45,839.51
T03,CD-Lima,Lima,P036,Purificador de agua,Pequeños Electrodomésticos,39,36.83,7,340.52,472.94
T03,CD-Lima,Lima,P037,Laptop HP 15,Cómputo,25,10.67,2,2094.74,2909.36
T03,CD-Lima,Lima,P038,Laptop Lenovo ThinkPad,Cómputo,28,12.92,3,924.29,1283.74
T03,CD-Lima,Lima,P039,Laptop Asus VivoBook,Cómputo,24,11.58,2,1397.47,1940.93
T03,CD-Lima,Lima,P040,Laptop Dell Inspiron,Cómputo,11,12.25,2,1170.5,1625.7
T03,CD-Lima,Lima,P041,Monitor LG 27,Cómputo,16,13.0,3,980.16,1361.33
T03,CD-Lima,Lima,P042,Monitor Samsung 24,Cómputo,0,16.25,3,2538.28,3525.39
T03,CD-Lima,Lima,P043,Monitor BenQ 32,Cómputo,4,12.17,2,2971.09,4126.52
T03,CD-Lima,Lima,P044,Impresora Epson EcoTank,Cómputo,14,16.58,3,1107.72,1538.5
T03,CD-Lima,Lima,P045,Impresora HP LaserJet,Cómputo,19,8.75,2,2342.61,3253.62
T03,CD-Lima,Lima,P046,All-in-one Dell,Cómputo,1,11.58,2,1980.81,2751.13
T03,CD-Lima,Lima,P047,Mini PC Intel NUC,Cómputo,16,9.33,2,2009.5,2790.97
T03,CD-Lima,Lima,P048,Teclado mecánico Logitech,Cómputo,17,11.67,2,1407.93,1955.46
T03,CD-Lima,Lima,P049,Smartphone iPhone 15,Celulares y Tablets,27,15.08,3,3238.6,4498.05
T03,CD-Lima,Lima,P050,Smartphone Samsung S24,Celulares y Tablets,18,11.5,2,2417.29,3357.35
T03,CD-Lima,Lima,P051,Smartphone Xiaomi Redmi,Celulares y Tablets,28,13.0,3,1879.13,2609.9
T03,CD-Lima,Lima,P052,Tablet iPad 10,Celulares y Tablets,11,10.83,2,1919.08,2665.39
T03,CD-Lima,Lima,P053,Tablet Samsung Galaxy Tab,Celulares y Tablets,11,9.83,2,3376.54,4689.64
T03,CD-Lima,Lima,P054,Smartwatch Apple Watch,Celulares y Tablets,1,11.08,2,3559.53,4943.79
T03,CD-Lima,Lima,P055,Smartwatch Samsung Galaxy,Celulares y Tablets,23,9.33,2,2160.56,3000.78
T03,CD-Lima,Lima,P056,Auriculares AirPods,Celulares y Tablets,19,12.42,2,2205.43,3063.1
T03,CD-Lima,Lima,P057,Cargador inalámbrico,Celulares y Tablets,25,13.33,3,2553.78,3546.92
T03,CD-Lima,Lima,P058,Funda protectora,Celulares y Tablets,4,10.67,2,1406.56,1953.56
T03,CD-Lima,Lima,P059,Power bank Anker,Celulares y Tablets,10,16.33,3,2965.77,4119.13
T03,CD-Lima,Lima,P060,Smartphone Motorola G84,Celulares y Tablets,30,12.08,2,2022.02,2808.36
T03,CD-Lima,Lima,P061,Aire acondicionado LG 12000BTU,Climatización,10,17.08,3,852.36,1183.84
T03,CD-Lima,Lima,P062,AC Samsung Inverter,Climatización,27,20.33,4,1421.77,1974.68
T03,CD-Lima,Lima,P063,AC Midea 9000BTU,Climatización,15,23.5,5,788.03,1094.48
